"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"YI","111, Inc.","2.69","50478568.23","18765267","2018","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/yi",
"PIH","1347 Property Insurance Holdings, Inc.","4.85","29161905.4","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","25.6532","17957240","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","2.09","65044064.58","n/a","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/turn",
"FLWS","1-800 FLOWERS.COM, Inc.","15.29","983420033.53","n/a","1999","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/flws",
"BCOW","1895 Bancorp of Wisconsin, Inc.","9.33","45499396.41","n/a","2019","Finance","Banks","https://www.nasdaq.com/symbol/bcow",
"FCCY","1st Constitution Bancorp (NJ)","16.9","146255489.9","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","42.71","1090608904.52","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","7.63","476874458.27","62499929","2011","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","17.83","1129261106.53","n/a","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/twou",
"QFIN","360 Finance, Inc.","9.99","414330484.77","41474523","2018","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/qfin",
"JOBS","51job, Inc.","66.87","2637542108.97","39442831","2004","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/jobs",
"JFK","8i Enterprises Acquisition Corp","9.96","73977900","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/jfk",
"JFKKR","8i Enterprises Acquisition Corp","0.4","0","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/jfkkr",
"JFKKU","8i Enterprises Acquisition Corp","10.52","52600000","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/jfkku",
"JFKKW","8i Enterprises Acquisition Corp","0.33","1897500","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/jfkkw",
"EGHT","8x8 Inc","24.54","2436515446.32","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/eght",
"JFU","9F Inc.","10.61","94429000","8900000","2019","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/jfu",
"AAON","AAON, Inc.","45.58","2375039475.74","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aaon",
"ABEO","Abeona Therapeutics Inc.","1.83","90247824.33","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeo",
"ABEOW","Abeona Therapeutics Inc.","0.12","0","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeow",
"ABIL","Ability Inc.","0.6509","5232624.8049","n/a","2014","Capital Goods","Telecommunications Equipment","https://www.nasdaq.com/symbol/abil",
"ABMD","ABIOMED, Inc.","189.59","8602971017.67","n/a","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/abmd",
"AXAS","Abraxas Petroleum Corporation","0.5015","84478708.09","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/axas",
"ACIU","AC Immune SA","5.31","358755988.23","n/a","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aciu",
"ACIA","Acacia Communications, Inc.","62.85","2581866372.75","n/a","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/acia",
