"Data provided by SimFin","",""
"","",""
"General Information","",""
"","Common name of company","MICROSOFT CORP"
"","Ticker of company","MSFT"
"","Investor relations page","https://www.microsoft.com/en-us/investor/"
"","Founding year","1975"
"","Headquarter location","Redmond, United States of America"
"","Number of employees (as per full financial year 2019)","144,000"
"","Sector classification","Application Software, Technology"
"","End of financial year","June"
"","",""
"Stock Information","",""
"","Share price (USD; as per 2020-07-16)","203.92"
"","Market Capitalisation (in million USD)","1,546,415"
"","Enterprise Value (in million USD)","1,475,399"
"","Common Shares Outstanding (as per 2020-04-24)","7,583,440,247"
"","Average Basic Shares Outstanding (in million USD)","7,628,000,000"
"","Average Diluted Shares Outstanding (in million USD)","7,702,500,000"
"","",""
"Key Financials & Ratios","",""
"","Revenues (in million USD, TTM)","138,699"
"","Gross Profit (in million USD, TTM)","94,548"
"","Operating Income (in million USD, TTM)","51,957"
"","EBITDA (in million USD, TTM)","64,173"
"","Net Profit (in million USD, TTM)","46,266"
"","Cash and Cash Equivalents (in million USD, TTM)","137,626"
"","Receivables (in million USD, TTM)","22,699"
"","Total Current Assets (in million USD, TTM)","170,505"
"","PP&E (in million USD, TTM)","41,221"
"","Total Assets (in million USD, TTM)","285,449"
"","Accounts Payable (in million USD, TTM)","9,246"
"","Current Debt (in million USD, TTM)","3,748"
"","Total Current Liabilities (in million USD, TTM)","58,707"
"","Long-Term Debt (in million USD, TTM)","62,862"
"","Total Liabilities (in million USD, TTM)","170,948"
"","Total Equity (in million USD, TTM)","114,501"
"","Depreciation and Amortisation (in million USD, TTM)","12,216"
"","Change in Working Capital (in million USD, TTM)","1,119"
"","Operating Cash Flow (in million USD, TTM)","58,110"
"","Net Change in PP&E and Intangibles (in million USD, TTM)","-14,748"
"","Investing Cash Flow (in million USD, TTM)","-15,018"
"","Dividends Paid (in million USD, TTM)","-14,793"
"","Financing Cash Flow (in million USD, TTM)","-42,455"
"","Total Change in Cash (in million USD, TTM)","498"
"","Free Cash Flow (in million USD, TTM)","56,488"
"","Gross Margin (TTM)","68.2%"
"","Operating Margin (TTM)","37.5%"
"","Net Profit Margin (TTM)","33.4%"
"","Return on Equity (TTM)","40.4%"
"","Return on Assets (TTM)","16.2%"
"","Basic EPS (TTM)","6.07"
"","Diluted EPS (TTM)","6.01"
"","Sales per Share (TTM)","18.18"
"","Book Value per Share (TTM)","15.01"
"","FCF per Share (TTM)","7.41"
"","Dividends per Share (TTM)","1.94"
"","Price to Earnings Ratio (TTM)","33.62"
"","Price to Sales Ratio (TTM)","11.21"
"","Price to Book Value (TTM)","13.59"
"","Price to Free Cash Flow (TTM)","27.54"
"","EV/EBITDA (TTM)","22.99"
"","EV/Sales (TTM)","10.64"
"","Book to Market Value (TTM)","0.07"
"","Current Ratio (TTM)","290.4%"
"","Liabilities to Equity Ratio (TTM)","149.3%"
"","Debt to Assets Ratio (TTM)","23.3%"
